,words,true_label,predicted_lable
130,water-line,NOUN,NOUN
131,interests,VERB,NOUN
132,me,PRON,PRON
133,also,ADV,ADV
134,.,.,.
135,As,ADP,ADP
136,I,PRON,PRON
137,was,VERB,VERB
138,saying,VERB,VERB
139,",",.,.
140,I've,PRT,PRT
141,known,VERB,VERB
142,all,PRT,PRT
143,about,ADP,ADP
144,the,DET,DET
145,old,ADJ,ADJ
146,records,NOUN,NOUN
147,",",.,.
148,including,ADP,ADP
149,the,DET,DET
150,old,ADJ,ADJ
151,Norberg,NOUN,NOUN
152,deed,NOUN,NOUN
153,.,.,.
154,Some,DET,ADV
155,ten,NUM,NUM
156,years,NOUN,NOUN
157,ago,ADV,ADV
158,that,DET,ADP
159,page,NOUN,NOUN
160,was,VERB,VERB
161,torn,VERB,VERB
162,out,PRT,PRT
163,",",.,.
164,I,PRON,PRON
165,don't,VERB,VERB
166,know,VERB,VERB
167,by,ADP,ADP
168,whom,PRON,PRON
169,.,.,.
170,About,ADV,ADV
171,five,NUM,NUM
172,years,NOUN,NOUN
173,ago,ADV,ADV
174,",",.,.
175,Handley,NOUN,NOUN
176,came,VERB,VERB
177,to,PRT,PRT
178,ask,VERB,VERB
179,me,PRON,PRON
180,if,ADP,ADP
181,he,PRON,PRON
182,could,VERB,VERB
183,see,VERB,VERB
184,the,DET,DET
185,tattered,VERB,VERB
186,register,NOUN,NOUN
187,.,.,.
188,He,PRON,PRON
189,was,VERB,VERB
190,courteous,ADJ,ADJ
191,and,CONJ,CONJ
192,casual,ADJ,ADJ
193,about,ADP,ADP
194,it,PRON,PRON
195,",",.,.
196,as,ADP,ADP
197,though,ADP,ADP
198,it,PRON,PRON
199,were,VERB,VERB
200,of,ADP,ADP
201,no,DET,DET
202,consequence,NOUN,NOUN
203,.,.,.
204,He's,PRT,PRT
205,always,ADV,ADV
206,like,ADP,ADP
207,that,DET,ADP
208,",",.,.
209,in,ADP,ADP
210,spite,ADP,NOUN
211,of,ADP,ADP
212,being,VERB,VERB
213,a,DET,DET
214,big,ADJ,ADJ
215,man,NOUN,NOUN
216,.,.,.
217,(,.,.
218,When,ADV,ADV
219,you,PRON,PRON
220,see,VERB,VERB
221,him,PRON,PRON
222,",",.,.
223,you'll,PRT,PRT
224,notice,VERB,VERB
225,his,DET,DET
226,habit,NOUN,NOUN
227,of,ADP,ADP
228,fingering,VERB,NOUN
229,",",.,.
230,I,PRON,PRON
231,might,VERB,VERB
232,almost,ADV,ADV
233,say,VERB,VERB
234,",",.,.
235,stroking,VERB,VERB
236,a,DET,DET
237,large,ADJ,ADJ
238,mole,NOUN,NOUN
239,with,ADP,ADP
240,black,ADJ,ADJ
241,hairs,NOUN,NOUN
242,on,ADP,ADP
243,it,PRON,PRON
244,",",.,.
245,by,ADP,ADP
246,his,DET,DET
247,right,ADJ,ADJ
248,temple,NOUN,NOUN
249,.,.,.
250,),.,.
251,A,DET,DET
252,sensual,ADJ,ADJ
253,man,NOUN,NOUN
254,",",.,.
255,but,CONJ,CONJ
256,very,ADV,ADV
257,courteous,ADJ,ADJ
258,",",.,.
259,some,DET,DET
260,would,VERB,VERB
261,say,VERB,VERB
262,slick,ADJ,NOUN
263,.,.,.
264,Like,ADP,ADP
265,his,DET,DET
266,glossy,ADJ,ADJ
267,black,ADJ,ADJ
268,hair,NOUN,NOUN
269,.,.,.
270,Too,ADV,ADV
271,many,ADJ,ADJ
272,outside,ADJ,ADJ
273,manners,NOUN,NOUN
274,",",.,.
275,to,ADP,ADP
276,my,DET,DET
277,taste,NOUN,NOUN
278,.,.,.
279,He,PRON,PRON
280,is,VERB,VERB
281,the,DET,DET
282,sort,NOUN,NOUN
283,who,PRON,PRON
284,",",.,.
285,with,ADP,ADP
286,an,DET,DET
287,appraising,VERB,ADJ
288,eye,NOUN,NOUN
289,",",.,.
290,would,VERB,VERB
291,cross,VERB,VERB
292,the,DET,DET
293,street,NOUN,NOUN
294,to,PRT,PRT
295,help,VERB,VERB
296,a,DET,DET
297,strange,ADJ,ADJ
298,woman,NOUN,NOUN
299,on,ADP,ADP
300,to,ADP,ADP
301,a,DET,DET
302,bus,NOUN,NOUN
303,and,CONJ,CONJ
304,then,ADV,ADV
305,pinch,VERB,VERB
306,her,PRON,PRON
307,.,.,.
308,A,DET,DET
309,real,ADJ,ADJ
310,gentleman,NOUN,NOUN
311,",",.,.
312,I,PRON,PRON
313,feel,VERB,VERB
314,",",.,.
315,would,VERB,VERB
316,do,VERB,VERB
317,neither,DET,DET
318,.,.,.
319,He's,PRT,PRT
320,always,ADV,ADV
321,worn,VERB,VERB
322,a,DET,DET
323,broad-brimmed,ADJ,ADJ
324,hat,NOUN,NOUN
325,",",.,.
326,and,CONJ,CONJ
327,I've,PRT,PRT
328,noticed,VERB,VERB
329,",",.,.
330,in,ADP,ADP
331,my,DET,DET
332,small,ADJ,ADJ
333,study,NOUN,NOUN
334,at,ADP,ADP
335,the,DET,DET
336,Society,NOUN,NOUN
337,",",.,.
338,that,ADP,ADP
339,he,PRON,PRON
340,rather,ADV,ADV
341,smells,VERB,VERB
342,of,ADP,ADP
343,cosmetics,NOUN,NOUN
344,.,.,.
345,The,DET,DET
346,next,ADJ,ADJ
347,week,NOUN,NOUN
348,",",.,.
349,cousin,NOUN,NOUN
350,Red,NOUN,ADJ
351,wandered,VERB,NOUN
352,in,PRT,ADP
353,as,ADV,ADP
354,casually,ADV,ADV
355,",",.,.
356,but,CONJ,CONJ
357,curt,ADJ,NOUN
358,and,CONJ,CONJ
359,untidy,ADJ,NOUN
360,.,.,.
361,Red,NOUN,ADJ
362,was,VERB,VERB
363,small,ADJ,ADJ
364,and,CONJ,CONJ
365,fine-boned,ADJ,NOUN
366,",",.,.
367,like,ADP,ADP
368,ivory-inlay,NOUN,NOUN
369,.,.,.
370,He,PRON,PRON
371,too,ADV,ADV
372,asked,VERB,VERB
373,to,PRT,PRT
374,see,VERB,VERB
375,the,DET,DET
376,same,ADJ,ADJ
377,page,NOUN,NOUN
378,.,.,.
379,When,ADV,ADV
380,I,PRON,PRON
381,told,VERB,VERB
382,him,PRON,PRON
383,someone,NOUN,NOUN
384,had,VERB,VERB
385,torn,VERB,VERB
386,it,PRON,PRON
387,out,PRT,PRT
388,",",.,.
389,he,PRON,PRON
390,shouted,VERB,VERB
391,.,.,.
392,``,.,.
393,By,ADP,ADP
394,God,NOUN,NOUN
395,",",.,.
396,it's,PRT,PRT
397,that,DET,DET
398,damn,ADJ,NOUN
399,Handley,NOUN,NOUN
400,",",.,.
401,the,DET,DET
402,sneak,NOUN,NOUN
403,'',.,.
404,!,.,.
405,!,.,.
406,And,CONJ,CONJ
407,later,ADV,ADV
408,in,ADP,ADP
409,the,DET,DET
410,same,ADJ,ADJ
411,week,NOUN,NOUN
412,they,PRON,PRON
413,both,DET,DET
414,came,VERB,VERB
415,together,ADV,ADV
416,to,PRT,PRT
417,examine,VERB,VERB
418,the,DET,DET
419,register,NOUN,NOUN
420,.,.,.
421,Fortunately,ADV,ADV
422,we,PRON,PRON
423,were,VERB,VERB
424,alone,ADV,ADV
425,in,ADP,ADP
426,the,DET,DET
427,building,NOUN,NOUN
428,--,.,.
429,so,ADV,ADV
430,few,ADJ,ADJ
431,people,NOUN,NOUN
432,nowadays,ADV,ADV
433,are,VERB,VERB
434,interested,VERB,VERB
435,even,ADV,ADV
436,in,ADP,ADP
437,their,DET,DET
438,own,ADJ,ADJ
439,past,NOUN,NOUN
440,or,CONJ,CONJ
441,in,ADP,ADP
442,the,DET,DET
443,lovely,ADJ,ADJ
444,craft,NOUN,NOUN
445,of,ADP,ADP
446,other,ADJ,ADJ
447,days,NOUN,NOUN
448,--,.,.
449,for,ADP,ADP
450,they,PRON,PRON
451,began,VERB,VERB
452,to,PRT,ADP
453,abuse,VERB,VERB
454,each,DET,DET
455,other,ADJ,ADJ
456,in,ADP,ADP
457,the,DET,DET
458,foulest,ADJ,NOUN
459,language,NOUN,NOUN
460,.,.,.
461,Red,ADJ,ADJ
462,thrusting,VERB,VERB
463,out,PRT,PRT
464,his,DET,DET
465,tawny,ADJ,ADJ
466,beard,NOUN,NOUN
467,",",.,.
468,Handley,NOUN,NOUN
469,glowering,VERB,NOUN
470,under,ADP,ADP
471,his,DET,DET
472,suddenly,ADV,ADV
473,rumpled,VERB,ADJ
474,black,ADJ,ADJ
475,hair,NOUN,NOUN
476,.,.,.
477,They,PRON,PRON
478,actually,ADV,ADV
479,bristled,VERB,VERB
480,.,.,.
481,Le,X,X
482,rouge,X,X
483,et,X,X
484,le,X,X
485,noir,X,-PAD-
486,.,.,.
487,Violent,ADJ,ADJ
488,men,NOUN,NOUN
489,both,DET,DET
490,.,.,.
491,Red,ADJ,ADJ
492,always,ADV,ADV
493,was,VERB,VERB
494,morose,ADJ,NOUN
495,",",.,.
496,yet,ADV,CONJ
497,that,DET,DET
498,day,NOUN,NOUN
499,the,DET,DET
500,dapper,ADJ,ADJ
501,Handley,NOUN,NOUN
502,was,VERB,VERB
503,the,DET,DET
504,louder,ADJ,ADJ
505,of,ADP,ADP
506,the,DET,DET
507,two,NUM,NUM
508,.,.,.
509,But,ADP,CONJ
510,for,ADP,ADP
511,my,DET,DET
512,presence,NOUN,NOUN
513,",",.,.
514,they,PRON,PRON
515,would,VERB,VERB
516,have,VERB,VERB
517,been,VERB,VERB
518,at,ADP,ADP
519,each,DET,DET
520,others',NOUN,NOUN
521,throats,NOUN,NOUN
522,.,.,.
523,During,ADP,ADP
524,the,DET,DET
525,quarrel,NOUN,NOUN
526,I,PRON,PRON
527,learned,VERB,VERB
528,what,DET,DET
529,the,DET,DET
530,trouble,NOUN,NOUN
531,was,VERB,VERB
532,",",.,.
533,from,ADP,ADP
534,the,DET,DET
535,accusations,NOUN,NOUN
536,each,DET,DET
537,hurled,VERB,NOUN
538,at,ADP,ADP
539,the,DET,DET
540,other,ADJ,ADJ
541,.,.,.
542,The,DET,DET
543,Beech,NOUN,NOUN
544,Pasture,NOUN,NOUN
545,had,VERB,VERB
546,suddenly,ADV,ADV
547,become,VERB,VERB
548,valuable,ADJ,ADJ
549,.,.,.
550,There's,PRT,PRT
551,a,DET,DET
552,fine,ADJ,ADJ
553,granite,NOUN,NOUN
554,quarry,NOUN,NOUN
555,there,ADV,ADV
556,",",.,.
557,and,CONJ,CONJ
558,granite's,PRT,NOUN
559,coming,VERB,VERB
560,back,ADV,ADV
561,for,ADP,ADP
562,public,ADJ,ADJ
563,buildings,NOUN,NOUN
564,.,.,.
565,Both,DET,DET
566,men,NOUN,NOUN
567,knew,VERB,VERB
568,it,PRON,PRON
569,was,VERB,VERB
570,in,ADP,ADP
571,the,DET,DET
572,Norberg,NOUN,ADJ
573,family,NOUN,NOUN
574,holdings,NOUN,NOUN
575,",",.,.
576,but,CONJ,CONJ
577,to,ADP,ADP
578,which,DET,DET
579,of,ADP,ADP
580,the,DET,DET
581,cousins,NOUN,NOUN
582,did,VERB,VERB
583,it,PRON,PRON
584,belong,VERB,VERB
585,",",.,.
586,Anta,NOUN,NOUN
587,or,CONJ,CONJ
588,Freya,NOUN,NOUN
589,?,.,.
590,?,.,.
591,Fortunately,ADV,ADV
592,",",.,.
593,I,PRON,PRON
594,knew,VERB,VERB
595,almost,ADV,ADV
596,exactly,ADV,ADV
597,what,DET,DET
598,the,DET,DET
599,will,NOUN,NOUN
600,had,VERB,VERB
601,said,VERB,VERB
602,.,.,.
603,It,PRON,PRON
604,began,VERB,VERB
605,with,ADP,ADP
606,a,DET,DET
607,preamble,NOUN,NOUN
608,",",.,.
609,of,ADP,ADP
610,course,NOUN,NOUN
611,.,.,.
612,This,DET,DET
613,explained,VERB,VERB
614,that,ADP,ADP
615,the,DET,DET
616,judge,NOUN,NOUN
617,of,ADP,ADP
618,probate,NOUN,NOUN
619,of,ADP,ADP
620,Essex,NOUN,NOUN
621,County,NOUN,NOUN
622,",",.,.
623,1785,NUM,NOUN
624,or,CONJ,CONJ
625,1786,NUM,NOUN
626,",",.,.
627,appointed,VERB,VERB
628,three,NUM,NUM
629,free-holders,NOUN,NOUN
630,of,ADP,ADP
631,Gloucester,NOUN,NOUN
632,to,PRT,PRT
633,divide,VERB,VERB
634,and,CONJ,CONJ
635,establish,VERB,VERB
636,the,DET,DET
637,Norberg,NOUN,NOUN
638,estate,NOUN,NOUN
639,.,.,.
640,After,ADP,ADP
641,the,DET,DET
642,usual,ADJ,ADJ
643,Honorable,ADJ,ADJ
644,Sirs,NOUN,NOUN
645,",",.,.
646,it,PRON,PRON
647,went,VERB,VERB
648,on,PRT,PRT
649,to,PRT,PRT
650,say,VERB,VERB
651,that,ADP,ADP
652,there,PRT,PRT
653,had,VERB,VERB
654,been,VERB,VERB
655,set,VERB,VERB
656,off,PRT,PRT
657,to,ADP,ADP
658,the,DET,DET
659,widow,NOUN,NOUN
660,one,NUM,NUM
661,full,ADJ,ADJ
662,third,ADJ,ADJ
663,part,NOUN,NOUN
664,of,ADP,ADP
665,the,DET,DET
666,real,ADJ,ADJ
667,estate,NOUN,NOUN
668,of,ADP,ADP
669,the,DET,DET
670,deceased,ADJ,ADJ
671,Salu,NOUN,NOUN
672,Norberg,NOUN,NOUN
673,",",.,.
674,one,NUM,NUM
675,lower,ADJ,ADJ
676,room,NOUN,NOUN
677,",",.,.
678,on,ADP,ADP
679,the,DET,DET
680,Western,ADJ,ADJ
681,side,NOUN,NOUN
682,",",.,.
683,privileges,NOUN,NOUN
684,to,ADP,ADP
685,the,DET,DET
686,well,NOUN,ADJ
687,and,CONJ,CONJ
688,bake-oven,NOUN,ADJ
689,and,CONJ,CONJ
690,to,ADP,ADP
691,one,NUM,NUM
692,third,ADJ,ADJ
693,of,ADP,ADP
694,the,DET,DET
695,cellar,NOUN,NOUN
696,(,.,.
697,I,PRON,PRON
698,can,VERB,VERB
699,show,VERB,VERB
700,you,PRON,PRON
701,the,DET,DET
702,cellar,NOUN,NOUN
703,when,ADV,ADV
704,we,PRON,PRON
705,go,VERB,VERB
706,up,PRT,PRT
707,),.,.
708,",",.,.
709,also,ADV,ADV
710,one,NUM,NUM
711,Cow,NOUN,NOUN
712,Right,NOUN,ADV
713,",",.,.
714,and,CONJ,CONJ
715,lastly,ADV,ADV
716,they,PRON,PRON
717,set,VERB,VERB
718,off,PRT,PRT
719,to,ADP,ADP
720,the,DET,DET
721,widow,NOUN,NOUN
722,her,DET,PRON
723,own,ADJ,ADJ
724,land,NOUN,NOUN
725,that,ADP,ADP
726,she,PRON,PRON
727,brought,VERB,VERB
728,with,ADP,ADP
729,her,PRON,DET
730,as,ADP,ADP
731,dower,NOUN,NOUN
732,",",.,.
733,namely,ADV,ADV
734,the,DET,DET
735,Beech,NOUN,NOUN
736,Pasture,NOUN,NOUN
737,.,.,.
738,And,CONJ,CONJ
739,I,PRON,PRON
740,remember,VERB,VERB
741,that,ADP,ADP
742,the,DET,DET
743,whole,NOUN,NOUN
744,of,ADP,ADP
745,the,DET,DET
746,privileges,NOUN,NOUN
747,",",.,.
748,not,ADV,ADV
749,counting,VERB,VERB
750,the,DET,DET
751,Beech,NOUN,NOUN
752,Pasture,NOUN,NOUN
753,",",.,.
754,was,VERB,VERB
755,valued,VERB,VERB
756,at,ADP,ADP
757,twenty,NUM,NUM
758,pounds,NOUN,NOUN
759,.,.,.
760,I,PRON,PRON
761,wish,VERB,VERB
762,you,PRON,PRON
763,could,VERB,VERB
764,have,VERB,VERB
765,seen,VERB,VERB
766,the,DET,DET
767,crests,NOUN,NOUN
768,fall,VERB,NOUN
769,on,ADP,ADP
770,these,DET,DET
771,two,NUM,NUM
772,sparring,VERB,VERB
773,coxcombs,NOUN,NOUN
774,when,ADV,ADV
775,I,PRON,PRON
776,told,VERB,VERB
777,them,PRON,PRON
778,that,ADP,ADP
779,obviously,ADV,ADV
780,the,DET,DET
781,pasture,NOUN,NOUN
782,belonged,VERB,VERB
783,to,ADP,ADP
784,their,DET,DET
785,wives,NOUN,NOUN
786,jointly,ADV,ADV
787,.,.,.
788,That,DET,DET
789,battle,NOUN,NOUN
790,scene,NOUN,NOUN
791,",",.,.
792,ridiculous,ADJ,ADJ
793,as,ADP,ADP
794,it,PRON,PRON
795,was,VERB,VERB
796,",",.,.
797,remained,VERB,VERB
798,in,ADP,ADP
799,my,DET,DET
800,mind,NOUN,NOUN
801,.,.,.
802,A,DET,DET
803,disturbing,ADJ,ADJ
804,picture,NOUN,NOUN
805,of,ADP,ADP
806,bad,ADJ,ADJ
807,blood,NOUN,NOUN
808,",",.,.
809,to,PRT,PRT
810,be,VERB,VERB
811,further,ADJ,ADV
812,heightened,VERB,VERB
813,with,ADP,ADP
814,illicit,ADJ,ADJ
815,if,ADP,ADP
816,buccolic,ADJ,NOUN
817,colors,NOUN,NOUN
818,",",.,.
819,for,ADP,ADP
820,on,ADP,ADP
821,a,DET,DET
822,subsequent,ADJ,ADJ
823,day,NOUN,NOUN
824,I,PRON,PRON
825,saw,VERB,VERB
826,Handley,NOUN,ADJ
827,escorting,VERB,NOUN
828,Anta,NOUN,NOUN
829,",",.,.
830,Red's,NOUN,ADJ
831,wife,NOUN,NOUN
832,",",.,.
833,up,PRT,PRT
834,on,ADP,ADP
835,Dogtown,NOUN,NOUN
836,Common,NOUN,ADJ
837,.,.,.
838,I,PRON,PRON
839,felt,VERB,VERB
840,it,PRON,PRON
841,would,VERB,VERB
842,be,VERB,VERB
843,inopportune,ADJ,NOUN
844,to,PRT,PRT
845,disclose,VERB,VERB
846,my,DET,DET
847,presence,NOUN,NOUN
848,.,.,.
849,Not,ADV,ADV
850,that,ADP,ADP
851,I,PRON,PRON
852,intentionally,ADV,ADV
853,go,VERB,VERB
854,unperceived,ADJ,NOUN
855,",",.,.
856,but,CONJ,CONJ
857,the,DET,DET
858,boulders,NOUN,NOUN
859,up,PRT,PRT
860,there,ADV,PRT
861,are,VERB,VERB
862,very,ADV,ADV
863,high,ADJ,ADJ
864,and,CONJ,CONJ
865,I,PRON,PRON
866,am,VERB,VERB
867,a,DET,DET
868,small,ADJ,ADJ
869,woman,NOUN,NOUN
870,.,.,.
871,One,NUM,NUM
872,other,ADJ,ADJ
873,cause,NOUN,NOUN
874,of,ADP,ADP
875,jealousy,NOUN,NOUN
876,between,ADP,ADP
877,them,PRON,PRON
878,I,PRON,PRON
879,must,VERB,VERB
880,tell,VERB,VERB
881,you,PRON,PRON
882,.,.,.
883,Paint,NOUN,NOUN
884,!,.,.
885,!,.,.
886,Gloomy,ADJ,ADJ
887,and,CONJ,CONJ
888,unkempt,ADJ,NOUN
889,as,ADP,ADP
890,Red,ADJ,ADJ
891,McIver,NOUN,NOUN
892,was,VERB,VERB
893,",",.,.
894,he,PRON,PRON
895,was,VERB,VERB
896,much,ADV,ADV
897,the,DET,DET
898,better,ADJ,ADJ
899,painter,NOUN,NOUN
900,.,.,.
901,I,PRON,PRON
902,suppose,VERB,VERB
903,Handley,NOUN,NOUN
904,knew,VERB,VERB
905,it,PRON,PRON
906,.,.,.
907,If,ADP,ADP
908,Red,NOUN,NOUN
909,had,VERB,VERB
910,a,DET,DET
911,show,NOUN,NOUN
912,at,ADP,ADP
913,Gloucester,NOUN,NOUN
914,",",.,.
915,Handley,NOUN,NOUN
916,would,VERB,VERB
917,hurry,VERB,VERB
918,to,PRT,PRT
919,hang,VERB,VERB
920,his,DET,DET
921,pictures,NOUN,NOUN
922,in,ADP,ADP
923,Rockport,NOUN,NOUN
924,.,.,.
925,You,PRON,PRON
926,may,VERB,VERB
927,say,VERB,VERB
928,this,DET,DET
929,has,VERB,VERB
930,little,ADJ,ADJ
931,pertinence,NOUN,NOUN
932,",",.,.
933,but,CONJ,CONJ
934,",",.,.
935,gentlemen,NOUN,NOUN
936,",",.,.
937,remember,VERB,VERB
938,that,ADP,ADP
939,all,PRT,PRT
940,this,DET,DET
941,prepared,VERB,VERB
942,my,DET,DET
943,mind,NOUN,NOUN
944,",",.,.
945,alerted,VERB,VERB
946,my,DET,DET
947,intelligence,NOUN,NOUN
948,.,.,.
949,By,ADP,ADP
950,such,ADJ,ADJ
951,touches,NOUN,VERB
952,the,DET,DET
953,pattern,NOUN,NOUN
954,takes,VERB,VERB
955,shape,NOUN,NOUN
956,.,.,.
957,You,PRON,PRON
958,would,VERB,VERB
959,call,VERB,VERB
960,these,DET,DET
961,the,DET,DET
962,motives,NOUN,NOUN
963,of,ADP,ADP
964,crime,NOUN,NOUN
965,.,.,.
966,I,PRON,PRON
967,would,VERB,VERB
968,call,VERB,VERB
969,them,PRON,PRON
970,the,DET,DET
971,patterns,NOUN,NOUN
972,of,ADP,ADP
973,life,NOUN,NOUN
974,",",.,.
975,perhaps,ADV,ADV
976,even,ADV,ADV
977,the,DET,DET
978,designs,NOUN,NOUN
979,of,ADP,ADP
980,destiny,NOUN,NOUN
981,.,.,.
982,Yet,ADV,ADV
983,with,ADP,ADP
984,all,PRT,PRT
985,this,DET,DET
986,knowledge,NOUN,NOUN
987,I,PRON,PRON
988,had,VERB,VERB
989,nothing,NOUN,NOUN
990,of,ADP,ADP
991,substance,NOUN,NOUN
992,to,PRT,ADP
993,unravel,VERB,VERB
994,our,DET,DET
995,case,NOUN,NOUN
996,",",.,.
997,as,ADP,ADP
998,you,PRON,PRON
999,would,VERB,VERB
1000,call,VERB,VERB
1001,it,PRON,PRON
1002,",",.,.
1003,till,ADP,ADP
1004,yesterday,NOUN,NOUN
1005,.,.,.
1006,One,NUM,NUM
1007,month,NOUN,NOUN
1008,ago,ADV,ADV
1009,",",.,.
1010,on,ADP,ADP
1011,the,DET,DET
1012,20th,ADJ,ADJ
1013,of,ADP,ADP
1014,October,NOUN,NOUN
1015,",",.,.
1016,was,VERB,VERB
1017,the,DET,DET
1018,opening,NOUN,NOUN
1019,of,ADP,ADP
1020,the,DET,DET
1021,gunning,VERB,NOUN
1022,season,NOUN,NOUN
1023,in,ADP,ADP
1024,Massachusetts,NOUN,NOUN
1025,.,.,.
1026,Not,ADV,ADV
1027,much,ADJ,ADJ
1028,to,PRT,PRT
1029,shoot,VERB,VERB
1030,",",.,.
1031,but,CONJ,CONJ
1032,there,PRT,PRT
1033,are,VERB,VERB
1034,a,DET,DET
1035,few,ADJ,ADJ
1036,pheasant,NOUN,NOUN
1037,.,.,.
1038,Rabbits,NOUN,NOUN
1039,",",.,.
1040,too,ADV,ADV
1041,",",.,.
1042,if,ADP,ADP
1043,you,PRON,PRON
1044,care,VERB,VERB
1045,for,ADP,ADP
1046,them,PRON,PRON
1047,",",.,.
1048,which,DET,DET
1049,most,ADJ,ADJ
1050,of,ADP,ADP
1051,the,DET,DET
1052,folk,NOUN,NOUN
1053,around,ADP,ADV
1054,here,ADV,ADV
1055,haven't,VERB,VERB
1056,the,DET,DET
1057,sense,NOUN,NOUN
1058,to,PRT,PRT
1059,appreciate,VERB,VERB
1060,.,.,.
1061,Any,DET,DET
1062,more,ADV,ADJ
1063,than,ADP,ADP
1064,they,PRON,PRON
1065,have,VERB,VERB
1066,the,DET,DET
1067,sense,NOUN,NOUN
1068,to,PRT,PRT
1069,eat,VERB,VERB
1070,mussels,NOUN,NOUN
1071,.,.,.
1072,That,DET,DET
1073,was,VERB,VERB
1074,the,DET,DET
1075,day,NOUN,NOUN
1076,Red,NOUN,NOUN
1077,was,VERB,VERB
1078,said,VERB,VERB
1079,to,PRT,PRT
1080,have,VERB,VERB
1081,gone,VERB,VERB
1082,away,ADV,ADV
1083,.,.,.
1084,Oh,PRT,PRT
1085,yes,ADV,ADV
1086,",",.,.
1087,he'd,PRT,PRT
1088,talked,VERB,VERB
1089,about,ADP,ADV
1090,doing,VERB,VERB
1091,so,ADV,ADV
1092,.,.,.
1093,In,ADP,ADP
1094,fact,NOUN,NOUN
1095,",",.,.
1096,he,PRON,PRON
1097,often,ADV,ADV
1098,disappeared,VERB,VERB
1099,",",.,.
1100,from,ADP,ADP
1101,time,NOUN,NOUN
1102,to,ADP,ADP
1103,time,NOUN,NOUN
1104,",",.,.
1105,--,.,.
1106,off,PRT,PRT
1107,to,PRT,PRT
1108,paint,VERB,VERB
1109,the,DET,DET
1110,sea,NOUN,NOUN
1111,",",.,.
1112,aboard,ADV,ADP
1113,a,DET,DET
1114,dragger,NOUN,NOUN
1115,out,PRT,PRT
1116,from,ADP,ADP
1117,Gloucester,NOUN,NOUN
1118,.,.,.
1119,Anta,NOUN,NOUN
1120,",",.,.
1121,his,DET,DET
1122,wife,NOUN,NOUN
1123,",",.,.
1124,never,ADV,ADV
1125,seemed,VERB,VERB
1126,to,PRT,ADP
1127,mind,VERB,NOUN
1128,.,.,.
1129,I,PRON,PRON
